Time,S(t),Extracted_Coordinates
0.0,1.0,1
0.5,0.981,2
1.0,0.971,3
1.5,0.9540000000000001,4
2.0,0.945,5
2.5,0.94,6
3.0,0.935,7
3.5,0.93,8
4.0,0.9079999999999999,9
4.5,0.868,10
5.0,0.841,11
5.5,0.81,12
6.0,0.7829999999999999,13
6.5,0.773,14
7.0,0.765,15
7.5,0.737,16
8.0,0.7290000000000001,17
8.5,0.71,18
9.0,0.6890000000000001,19
9.5,0.684,20
10.0,0.674,21
10.5,0.639,22
11.0,0.621,23
11.5,0.616,24
12.0,0.604,25
12.5,0.603,26
13.0,0.5920000000000001,27
13.5,0.5920000000000001,28
14.0,0.5920000000000001,29
14.5,0.585,30
15.0,0.578,31
15.5,0.556,32
16.0,0.556,33
16.5,0.5329999999999999,34
17.0,0.532,35
17.5,0.532,36
18.0,0.532,37
18.5,0.532,38
19.0,0.532,39
19.5,0.532,40
20.0,0.532,41
20.5,0.532,42
21.0,0.532,43
21.5,0.532,44
22.0,0.532,45
22.5,0.532,46
23.0,0.532,47
23.5,0.532,48
24.0,0.532,49
24.5,0.532,50
25.0,0.532,51
25.5,0.532,52
